aX,aY,aZ,gX,gY,gZ
0.912,0.185,-0.195,3.113,-2.319,-14.771
0.923,0.188,-0.192,2.563,-2.014,-14.893

1.636,0.008,0.923,94.177,-57.068,-78.918
1.590,0.029,1.086,123.962,-154.541,-103.882
1.336,-0.047,1.077,195.618,-367.981,-179.443
0.657,-0.198,1.178,253.723,-607.422,-245.117
0.517,-0.095,1.021,254.333,-782.654,-252.869
0.152,-0.194,0.682,176.025,-1052.551,-240.051
-0.226,-0.222,0.844,103.394,-1176.636,-210.144
-0.317,-0.177,0.957,99.304,-1212.646,-206.177
-0.674,-0.245,0.951,157.532,-1225.159,-221.191
-0.867,-0.167,0.475,288.879,-1140.625,-240.540
-0.947,-0.115,0.045,357.544,-1057.983,-243.164
-1.368,-0.076,-1.062,433.350,-898.865,-223.633
-1.850,-0.073,-2.472,357.056,-734.741,-170.105
-2.149,-0.130,-3.102,270.081,-619.873,-134.766
-2.034,0.275,-3.478,57.007,-310.364,-56.152
-2.188,0.031,-3.464,-52.795,112.671,-15.076
-2.053,-0.122,-3.231,-108.948,309.326,-0.977
-1.825,-0.361,-2.533,-227.417,579.285,-4.517
-1.716,-0.425,-1.805,-292.236,791.382,-40.161
-1.780,-0.429,-1.613,-309.021,880.127,-51.758
-1.835,-0.465,-1.255,-351.990,985.596,-17.639
-1.938,-0.544,-0.622,-377.319,1110.657,63.354
-1.968,-0.609,-0.177,-380.981,1125.427,114.319
-1.955,-0.731,0.568,-337.280,1037.354,213.318
-1.198,-1.078,1.507,-273.193,884.399,283.997
0.170,-0.648,2.103,-231.628,719.849,317.139
3.425,0.916,2.624,-77.881,31.372,280.457
2.868,-0.164,2.352,102.539,-605.286,14.160
1.359,-0.526,1.893,184.265,-844.971,-154.480
-0.054,-0.328,1.413,236.328,-1111.267,-381.653
-1.149,-0.323,1.671,221.802,-1191.345,-465.332
-1.477,-0.209,1.238,262.451,-1194.824,-457.520
-1.739,0.099,-0.094,388.062,-1086.975,-363.220
-2.085,0.200,-1.581,465.698,-951.050,-207.458
-1.998,0.132,-2.617,432.007,-893.921,-122.620
-2.056,-0.135,-3.588,195.862,-683.044,12.695
-2.005,0.015,-3.907,38.635,-242.859,7.324
