aX,aY,aZ,gX,gY,gZ
0.927,-1.114,-0.204,-263.672,-268.677,807.495
1.478,-1.296,-0.093,-237.915,-239.807,821.350
2.509,-1.201,-0.324,-203.430,-178.040,754.272
3.238,-1.222,-0.490,-208.130,-115.479,559.204
3.872,-0.999,-0.423,-227.295,-72.449,424.927
3.485,-0.952,0.051,-250.183,4.639,182.190
3.164,-0.947,0.310,-227.966,-17.639,22.888
2.662,-0.852,0.558,-201.965,-32.532,-23.804
2.401,-0.802,0.633,-128.052,-24.109,-65.063
2.320,-0.774,0.624,-85.938,6.592,-66.650
2.247,-0.686,0.536,-5.737,82.886,-68.726
2.152,-0.625,0.422,46.997,127.136,-96.436
2.117,-0.567,0.351,62.439,131.836,-119.446
2.092,-0.501,0.301,72.754,125.000,-179.382
1.946,-0.440,0.348,78.003,127.258,-255.615
1.829,-0.425,0.354,84.412,131.287,-290.710
1.641,-0.323,0.357,99.060,145.386,-342.896
1.572,-0.249,0.354,115.173,167.358,-379.761
1.512,-0.205,0.374,126.282,177.490,-403.320
1.325,-0.201,0.427,152.039,199.097,-458.862
1.090,-0.236,0.452,191.772,188.171,-509.155
0.958,-0.225,0.412,214.539,178.406,-532.959
0.599,-0.250,0.379,259.399,168.518,-570.435
0.218,-0.190,0.366,302.673,173.462,-579.956
0.062,-0.145,0.327,322.510,180.176,-571.838
-0.187,-0.033,0.150,346.741,201.355,-532.837
-0.333,0.049,-0.011,365.845,234.009,-479.736
-0.417,0.068,-0.044,367.859,239.441,-459.106
-0.707,0.107,-0.132,363.098,219.055,-426.453
-1.083,0.268,-0.268,352.722,170.532,-387.817
-1.308,0.422,-0.452,340.576,150.330,-351.685
-1.706,0.770,-0.896,295.898,102.356,-264.893
-1.698,1.001,-1.209,198.547,-6.958,-150.208
-1.642,1.044,-1.266,134.033,-44.006,-108.765
-1.364,0.918,-1.080,15.137,-96.252,-44.922
-1.108,0.781,-0.781,-70.557,-105.103,7.996
-0.978,0.718,-0.608,-98.267,-91.614,28.076
-0.811,0.684,-0.254,-121.216,-43.640,55.908
-0.710,0.632,-0.006,-114.624,11.414,74.890
-0.684,0.660,0.099,-100.525,29.358,80.505
-0.573,0.730,0.192,-68.359,39.551,83.801
-0.440,0.776,0.182,-34.729,7.690,74.646
-0.375,0.815,0.153,-21.423,-14.099,67.566
-0.262,0.910,0.107,-2.869,-47.791,51.453
-0.162,0.971,0.052,9.216,-65.063,39.368
-0.124,1.010,0.036,12.756,-71.411,34.485
-0.074,1.041,0.021,14.404,-67.993,30.884
-0.004,1.076,0.007,15.991,-39.368,30.396
0.008,1.083,0.015,15.808,-26.855,29.968
0.045,1.096,0.014,13.855,-11.414,30.823
0.099,1.105,0.007,11.902,-6.470,29.053
0.113,1.093,0.014,11.353,-6.348,25.330
0.151,1.100,0.012,7.996,-11.292,19.348
0.121,1.087,0.047,6.104,-22.766,15.808
0.123,1.076,0.059,8.057,-26.611,13.794
0.132,1.066,0.045,8.667,-36.316,11.719
0.166,1.058,0.042,10.620,-43.213,8.423
0.174,1.040,0.024,12.390,-43.274,5.737
0.159,1.032,0.018,9.583,-28.503,1.831
0.127,1.032,0.022,9.583,-16.663,0.732
0.133,1.029,0.019,9.460,-13.184,1.404
0.125,1.020,0.018,7.446,-3.845,1.953
0.083,1.012,0.037,4.944,3.967,5.188
0.102,1.007,0.030,4.700,2.625,5.188
0.103,0.983,0.034,-0.366,-1.953,6.348
0.075,0.978,0.065,-2.197,-2.197,6.409
0.081,0.976,0.068,-1.160,-2.625,6.897
0.111,0.968,0.063,0.122,-7.324,7.019
0.131,0.939,0.054,1.953,-7.690,5.432
0.130,0.937,0.047,3.906,-6.958,3.418
0.115,0.939,0.072,8.179,-4.272,2.686
0.126,0.965,0.043,9.583,-8.423,0.793
0.138,0.945,0.021,8.484,-9.216,-1.770
0.096,0.963,0.025,7.812,-1.099,-3.662
0.077,0.988,0.031,5.127,1.709,-1.953
0.107,0.971,0.050,4.028,0.061,-1.648
0.115,0.972,0.067,-0.671,-5.371,-3.845

1.729,-0.600,0.372,-237.915,-181.946,542.542
2.086,-0.636,0.416,-216.125,-172.424,502.869
2.854,-0.550,0.480,-164.917,-151.428,380.981
3.263,-0.581,0.558,-142.883,-91.675,215.942
3.280,-0.629,0.639,-130.371,-54.810,132.019
3.261,-0.573,0.823,-78.247,15.564,-13.916
3.195,-0.606,0.967,-27.222,40.588,-162.781
3.042,-0.632,0.945,8.301,56.335,-227.600
2.733,-0.721,0.807,76.660,90.942,-336.182
2.537,-0.687,0.813,134.338,125.122,-438.416
2.461,-0.724,0.841,162.659,138.855,-494.751
2.187,-0.879,0.833,219.238,156.555,-611.511
1.677,-1.042,0.765,286.560,191.772,-726.440
1.328,-1.120,0.768,328.674,199.707,-770.630
0.597,-1.078,0.662,396.851,174.927,-816.650
0.096,-0.982,0.472,433.350,145.813,-795.837
-0.175,-0.818,0.358,449.707,154.297,-767.639
-0.468,-0.571,0.199,457.275,183.350,-698.853
-0.654,-0.438,0.070,460.449,196.350,-620.178
-0.742,-0.368,0.008,458.435,191.406,-587.952
-1.097,-0.184,-0.129,445.312,161.987,-530.762
-1.376,-0.195,-0.448,429.077,90.088,-466.919
-1.593,-0.112,-0.630,410.400,51.208,-435.974
-2.205,0.261,-1.146,341.003,35.461,-346.924
-2.432,0.512,-1.397,244.019,13.794,-208.618
-2.406,0.575,-1.711,179.382,-21.606,-141.174
-2.226,0.492,-1.623,39.124,-74.585,-40.161
-2.157,0.434,-1.477,-81.787,-64.575,41.931
-1.973,0.245,-0.997,-131.226,-50.598,75.867
-1.943,0.114,-0.566,-192.383,-3.967,128.174
-1.954,0.109,-0.399,-217.529,49.438,180.847
-1.908,0.166,-0.176,-221.741,60.852,208.008
-1.763,0.210,-0.089,-219.116,52.795,252.808
-1.666,0.274,-0.055,-214.966,14.221,298.584
-1.495,0.331,-0.025,-211.914,2.441,323.059
-1.358,0.394,-0.010,-211.304,-10.986,375.916
-1.286,0.426,-0.093,-215.454,-24.353,407.959
-0.989,0.258,-0.137,-223.389,-59.509,468.689
-0.574,0.101,-0.148,-261.597,-89.966,510.132
-0.440,0.073,-0.138,-273.071,-103.027,517.273
-0.132,0.022,0.006,-299.805,-141.479,534.546
0.004,-0.242,0.055,-312.988,-183.777,566.589
0.200,-0.362,0.021,-310.852,-196.960,607.666
0.626,-0.693,0.040,-282.166,-180.298,683.533
1.268,-0.738,0.173,-226.379,-103.699,709.778
1.734,-0.660,0.182,-205.566,-82.275,689.514
3.015,-0.425,0.115,-190.491,-72.510,557.556
3.460,-0.339,0.259,-202.942,-57.007,311.707
3.281,-0.361,0.417,-203.369,-49.194,189.575
2.559,-0.368,0.762,-179.993,-39.795,18.616
2.076,-0.329,0.866,-113.159,-36.011,-35.889
1.963,-0.291,0.823,-76.111,-11.047,-34.790
1.925,-0.263,0.679,-12.634,72.876,-21.667
1.979,-0.212,0.584,18.433,114.746,-36.072
2.003,-0.178,0.569,20.752,108.154,-59.021
1.934,-0.155,0.636,17.334,80.078,-121.033
1.866,-0.123,0.732,21.118,84.167,-185.913
1.819,-0.108,0.805,29.297,91.736,-217.590
1.740,-0.081,0.931,60.059,110.168,-278.931
1.692,-0.065,1.025,110.352,122.437,-348.206
1.648,-0.066,1.014,137.573,124.695,-383.911
1.481,-0.065,0.906,193.604,145.813,-448.853
1.216,-0.153,0.630,251.953,179.199,-506.897
1.070,-0.133,0.563,274.780,187.256,-531.677
0.638,-0.294,0.466,323.730,177.063,-568.787
0.297,-0.181,0.316,361.023,157.898,-586.365
0.123,-0.140,0.243,372.864,160.461,-586.853
-0.271,-0.055,0.130,386.902,201.660,-567.139
-0.618,0.030,-0.006,396.545,201.233,-523.804
-0.792,0.062,-0.062,397.522,183.411,-496.765
-1.165,0.070,-0.331,389.404,161.621,-436.279
-1.633,0.420,-0.792,363.281,138.184,-350.098
-1.706,0.566,-1.021,327.271,112.000,-298.462
-1.780,0.771,-1.258,229.004,19.775,-202.759
-1.648,0.826,-1.318,109.253,-41.504,-125.610
-1.591,0.803,-1.237,52.063,-52.246,-91.919
-1.391,0.677,-0.921,-43.030,-42.725,-28.381
-1.238,0.571,-0.570,-102.844,-20.081,18.982
-1.199,0.535,-0.362,-117.798,-16.541,35.950
-1.086,0.543,-0.066,-119.202,-20.447,62.195
-0.877,0.582,0.118,-91.370,-31.433,71.899
-0.819,0.629,0.159,-76.782,-40.466,73.181
-0.658,0.700,0.204,-49.561,-45.166,71.899
-0.565,0.789,0.171,-25.940,-39.551,69.702
-0.507,0.841,0.180,-18.127,-39.551,70.068
-0.361,0.891,0.100,-5.981,-41.748,69.641
-0.229,0.969,0.025,-4.578,-38.208,65.918
-0.208,1.024,0.045,-8.789,-32.227,64.575
-0.169,1.047,0.042,-13.611,-24.597,62.927
-0.101,1.089,0.070,-17.273,-16.724,64.453
-0.066,1.080,0.088,-18.066,-15.808,64.270
-0.043,1.088,0.120,-21.118,-17.944,61.279
-0.040,1.085,0.143,-22.278,-19.165,55.725
-0.031,1.082,0.168,-23.254,-20.752,53.772
-0.016,1.063,0.205,-22.705,-27.771,50.720
-0.002,1.045,0.222,-22.217,-31.921,45.898
-0.005,1.030,0.244,-18.860,-34.973,42.175
0.008,1.006,0.220,-14.282,-41.199,37.659
0.026,0.996,0.233,-9.521,-39.917,33.203
0.038,1.001,0.221,-8.423,-36.499,32.715
0.025,0.986,0.217,-5.676,-30.579,26.978
0.033,0.996,0.214,-4.700,-24.353,23.254
-0.001,0.994,0.206,-2.380,-23.987,21.240
-0.004,0.994,0.224,-2.930,-25.330,21.912
-0.017,0.974,0.225,-0.732,-24.170,20.447
-0.011,0.966,0.246,1.160,-24.475,21.179
-0.010,0.960,0.247,2.380,-22.339,23.560
-0.002,0.963,0.257,4.761,-22.339,24.170
0.033,0.950,0.246,9.155,-20.020,25.940
0.077,0.960,0.215,11.536,-15.320,26.978
0.083,0.958,0.219,11.780,-11.902,26.672
0.128,0.973,0.216,13.123,-9.033,23.682
0.116,0.974,0.189,11.841,-10.559,16.602
0.121,0.953,0.213,11.108,-13.428,13.367
0.111,0.951,0.186,11.169,-18.982,6.287
0.096,0.961,0.208,14.160,-15.198,1.160
0.075,0.955,0.207,14.526,-10.864,-0.488
0.072,0.950,0.209,19.714,-3.418,-3.784
0.052,0.967,0.198,24.048,-1.587,-4.578

1.775,-0.917,0.228,-243.286,-203.735,589.111
2.258,-1.011,0.329,-226.868,-219.055,577.698
3.468,-0.968,0.339,-188.843,-228.638,473.083
3.969,-0.840,0.457,-156.128,-129.639,260.986
3.969,-0.781,0.597,-144.043,-55.725,138.855
3.556,-0.785,0.754,-103.271,29.053,-78.979
3.030,-0.807,0.751,-47.852,19.470,-210.205
2.874,-0.755,0.718,-14.160,18.311,-252.197
2.706,-0.695,0.681,62.744,61.401,-325.317
2.542,-0.664,0.596,135.925,138.367,-400.452
2.411,-0.679,0.580,167.114,172.058,-447.693
2.085,-0.687,0.543,217.224,193.115,-543.396
1.811,-0.762,0.596,264.160,179.077,-648.987
1.591,-0.813,0.618,285.278,172.180,-704.346
1.075,-1.024,0.642,350.708,148.315,-793.396
0.506,-1.067,0.575,427.795,127.136,-840.149
0.182,-1.090,0.488,465.027,139.221,-849.121
-0.329,-1.018,0.175,524.231,207.947,-805.603
-0.716,-0.937,-0.191,549.194,253.540,-720.642
-0.930,-0.818,-0.310,552.734,256.042,-673.645
-1.360,-0.513,-0.592,535.828,227.295,-569.763
-1.797,-0.244,-1.063,479.553,177.246,-478.821
-2.137,0.048,-1.307,439.392,136.108,-434.570
-2.918,0.453,-2.068,346.741,78.064,-299.500
-2.670,0.740,-2.208,180.969,-50.659,-117.188
-2.420,0.594,-2.279,89.905,-102.234,-59.814
-2.168,0.455,-1.882,-81.787,-125.549,25.146
-1.972,0.108,-1.258,-203.125,-96.252,101.440
-1.948,0.008,-0.919,-241.150,-58.228,132.996
-1.984,-0.026,-0.389,-278.870,18.738,195.312
-1.940,0.053,-0.123,-279.175,47.302,249.268
-1.891,0.117,-0.062,-270.813,35.461,275.452
-1.680,0.267,-0.053,-255.920,1.099,326.599
-1.393,0.217,-0.115,-252.991,-34.668,375.916
-1.283,0.220,-0.089,-261.414,-42.053,399.353
-0.995,0.179,-0.117,-272.888,-51.941,443.115
-0.891,0.122,-0.068,-291.199,-60.669,478.516
-0.532,0.028,-0.072,-298.889,-78.125,490.601
-0.182,0.002,-0.052,-324.463,-121.277,502.258
-0.042,-0.044,-0.052,-349.121,-168.945,515.442
0.307,-0.159,-0.130,-355.469,-192.871,525.391
0.550,-0.425,-0.179,-381.897,-191.833,588.501
0.655,-0.656,-0.149,-382.996,-156.433,672.546
1.077,-0.895,0.003,-366.577,-139.160,694.946
1.859,-1.050,0.125,-334.595,-133.484,666.382
2.544,-1.005,0.125,-323.853,-135.742,529.297
3.468,-0.961,0.371,-318.176,-135.681,421.387
3.655,-0.818,0.752,-282.776,-72.754,186.707
3.451,-0.719,0.879,-248.596,-15.930,78.796
2.733,-0.676,1.047,-175.110,48.157,-65.125
2.220,-0.635,1.025,-95.947,67.139,-118.408
2.051,-0.587,0.998,-58.533,73.364,-122.009
1.926,-0.501,0.877,14.404,97.412,-109.802
1.933,-0.456,0.786,74.158,117.981,-115.906
2.010,-0.419,0.765,95.703,122.131,-131.470
2.083,-0.448,0.775,131.165,121.094,-199.463
1.932,-0.392,0.835,164.062,116.211,-299.072
1.873,-0.380,0.846,180.298,115.234,-345.825
1.613,-0.418,0.738,215.210,116.577,-423.157
1.335,-0.274,0.730,259.216,133.911,-485.596
1.167,-0.278,0.633,280.579,142.517,-507.263
0.893,-0.264,0.444,319.092,183.899,-535.889
0.534,-0.264,0.319,351.013,208.130,-551.636
0.363,-0.230,0.294,367.249,208.801,-553.467
0.014,-0.148,0.247,398.926,220.703,-549.561
-0.372,0.016,0.276,412.476,245.972,-510.864
-0.517,0.092,0.146,426.453,220.093,-485.840
-0.675,0.114,-0.015,432.068,209.656,-422.241
-0.980,0.155,-0.517,426.331,212.524,-361.877
-1.253,0.375,-0.761,406.372,219.299,-328.186
-1.606,0.878,-1.240,327.271,166.443,-241.028
-1.601,1.030,-1.484,201.416,32.715,-154.541
-1.538,0.982,-1.459,135.315,-33.203,-121.887
-1.273,0.886,-1.150,6.042,-109.741,-75.928
-1.054,0.752,-0.725,-72.998,-100.647,-27.039
-0.962,0.718,-0.476,-90.576,-81.604,-7.263
-0.814,0.673,-0.139,-97.717,-26.855,26.123
-0.723,0.665,0.110,-75.195,10.803,42.480
-0.689,0.711,0.192,-57.434,15.320,45.288
-0.591,0.801,0.173,-25.513,-0.549,41.077
-0.513,0.856,0.141,-3.662,-30.212,32.043
-0.479,0.899,0.138,3.784,-42.969,28.503
-0.395,0.949,0.081,14.954,-57.983,23.132
-0.317,0.996,0.054,18.433,-60.852,22.400
-0.274,1.024,0.048,18.127,-58.044,23.621
-0.220,1.033,0.056,18.921,-47.424,24.719
-0.134,1.035,0.052,16.968,-31.189,26.672
-0.114,1.047,0.060,15.442,-24.109,26.367
-0.079,1.053,0.073,15.015,-13.367,24.597
-0.079,1.064,0.067,14.832,-6.042,22.583
-0.052,1.052,0.084,14.343,-4.883,22.400
-0.066,1.050,0.094,15.747,-7.690,18.127
-0.067,1.043,0.088,17.517,-15.137,15.503
-0.047,1.053,0.103,19.043,-21.484,14.221
-0.037,1.030,0.101,18.738,-33.142,10.742
-0.027,0.997,0.071,19.775,-34.241,7.568
-0.020,1.027,0.072,19.287,-30.273,5.493
-0.029,1.015,0.061,20.996,-19.897,4.089
-0.050,0.994,0.074,21.484,-6.287,6.714
-0.043,0.994,0.049,21.912,-2.014,7.263
-0.024,1.033,0.033,20.142,2.014,8.484
-0.030,1.012,0.056,16.235,-0.488,5.798
-0.051,1.015,0.060,14.587,-0.366,5.920
-0.036,1.023,0.052,13.733,-1.404,5.981
-0.035,1.022,0.061,12.573,-4.578,6.226
-0.043,1.016,0.074,13.245,-5.371,4.639
-0.042,0.992,0.078,14.893,-6.409,6.531
-0.023,0.991,0.054,20.630,-6.897,4.944
-0.011,0.979,0.041,22.827,-4.028,5.005
-0.014,0.991,0.017,24.841,4.272,4.333
-0.007,0.987,-0.000,27.100,8.423,4.395
-0.016,0.991,-0.008,29.419,8.789,2.014
0.002,0.991,-0.040,27.405,6.470,-0.366
0.002,0.999,-0.043,21.912,3.174,-2.136
-0.003,0.983,-0.046,19.165,-1.221,-4.822
-0.004,0.984,-0.056,12.390,-7.385,-4.700
-0.007,0.970,-0.036,6.042,-10.681,-5.798
-0.005,0.959,-0.033,3.235,-8.850,-6.348
-0.004,0.971,-0.008,-2.197,-5.981,-2.197

1.584,-1.065,-0.107,-246.460,-227.661,688.904
2.053,-1.135,-0.067,-210.388,-242.859,703.369
3.390,-1.097,-0.283,-172.546,-265.564,623.474
3.969,-0.717,-0.455,-161.926,-90.332,400.391
3.969,-0.552,-0.186,-184.265,-23.804,234.070
3.686,-0.626,0.380,-200.256,105.103,-36.438
2.936,-0.694,0.711,-159.729,119.934,-205.139
2.714,-0.673,0.779,-122.986,92.468,-268.127
2.589,-0.629,0.791,-41.626,79.590,-368.286
2.459,-0.610,0.778,48.218,142.456,-459.839
2.359,-0.658,0.779,89.844,188.354,-510.498
1.907,-0.744,0.740,170.593,250.000,-612.610
1.265,-0.867,0.527,244.324,270.203,-685.547
1.050,-0.788,0.421,273.926,259.155,-701.477
0.753,-0.706,0.291,317.505,210.815,-723.572
0.416,-0.583,0.251,334.045,159.851,-741.089
0.262,-0.545,0.269,338.623,138.977,-742.310
-0.282,-0.389,0.334,360.413,127.136,-723.999
-0.689,-0.334,0.294,394.592,120.667,-662.476
-0.805,-0.316,0.218,413.940,121.460,-619.324
-0.944,-0.332,-0.058,442.078,142.395,-545.166
-0.994,0.069,-0.520,437.622,158.081,-486.694
-1.402,-0.235,-0.563,412.964,151.062,-476.501
-2.080,0.011,-0.973,346.802,141.113,-412.537
-2.679,0.417,-1.455,276.855,101.746,-281.921
-2.731,0.631,-1.635,223.328,69.031,-196.411
-2.563,0.575,-1.608,87.585,5.432,-53.101
-2.312,0.402,-1.400,-37.231,-44.800,49.561
-2.181,0.301,-1.179,-89.844,-43.701,89.661
-1.960,0.109,-0.732,-170.227,-23.254,160.461
-1.860,0.036,-0.332,-210.022,25.146,211.243
-1.815,0.055,-0.207,-218.567,47.363,232.788
-1.785,0.123,-0.055,-225.708,60.181,275.330
-1.678,0.192,-0.042,-223.755,39.612,324.524
-1.560,0.179,-0.024,-222.778,21.973,351.135
-1.212,0.229,0.219,-237.061,-74.097,420.410
-1.028,0.366,0.055,-220.276,-58.350,462.830
-0.903,0.198,-0.007,-216.919,-80.933,481.750
-0.514,-0.005,0.001,-207.703,-122.925,524.231
-0.143,-0.018,-0.026,-203.796,-168.396,541.809
-0.041,-0.063,-0.005,-199.402,-184.937,549.316
0.236,-0.138,0.016,-189.453,-203.613,574.890
0.544,-0.350,0.021,-169.250,-196.350,612.976
0.725,-0.450,0.015,-148.987,-181.274,635.925
1.095,-0.590,0.053,-102.478,-118.835,678.528
1.582,-0.613,0.044,-59.875,-57.007,688.171
1.870,-0.548,-0.003,-46.387,-45.715,664.978
2.664,-0.494,-0.318,-45.776,-32.715,549.377
2.902,-0.398,-0.379,-112.305,-47.729,379.395
2.925,-0.390,-0.077,-138.977,-57.739,289.734
2.675,-0.599,0.167,-158.020,-17.212,160.278
2.519,-0.594,0.310,-129.089,17.822,80.994
2.355,-0.583,0.490,-105.103,35.217,56.702
2.259,-0.530,0.507,-51.575,58.411,20.203
2.228,-0.511,0.513,-0.732,86.975,-14.160
2.156,-0.482,0.477,22.339,96.130,-34.607
2.073,-0.431,0.442,58.472,99.976,-79.590
2.012,-0.418,0.386,73.181,97.900,-105.591
1.918,-0.371,0.310,94.666,82.703,-157.532
1.916,-0.293,0.268,107.849,72.876,-214.905
1.873,-0.262,0.261,113.892,72.449,-252.441
1.709,-0.232,0.265,122.742,78.308,-320.740
1.528,-0.225,0.200,137.085,87.769,-376.770
1.408,-0.202,0.150,141.846,90.149,-400.024
1.233,-0.117,0.168,151.184,88.135,-437.256
1.035,-0.074,0.179,160.461,92.651,-477.844
0.967,-0.033,0.151,167.542,91.797,-497.375
0.692,-0.024,0.122,175.964,84.961,-531.677
0.365,0.022,0.173,187.256,57.617,-551.514
0.251,0.048,0.154,191.772,40.100,-553.406
-0.066,0.187,0.132,195.190,14.343,-549.866
-0.297,0.260,0.111,195.374,36.011,-531.189
-0.372,0.265,0.108,195.374,53.955,-516.907
-0.597,0.305,0.015,203.979,104.248,-475.769
-0.967,0.339,-0.111,213.989,133.179,-413.025
-1.105,0.294,-0.185,214.600,132.324,-375.977
-1.302,0.580,-0.346,202.393,105.896,-293.213
-1.272,0.795,-0.462,174.438,35.156,-219.360
-1.278,0.769,-0.502,151.794,-12.817,-193.237
-1.221,0.812,-0.568,99.548,-86.670,-147.583
-1.095,0.887,-0.475,46.448,-104.309,-102.966
-1.051,0.887,-0.412,23.804,-94.971,-81.055
-0.907,0.867,-0.310,-6.653,-55.908,-43.396
-0.795,0.861,-0.187,-25.146,-18.982,-14.221
-0.767,0.876,-0.110,-30.945,-2.930,-3.845
-0.712,0.859,-0.014,-33.325,11.047,13.428
-0.644,0.877,0.058,-24.658,2.563,24.841
-0.583,0.881,0.067,-18.982,-8.057,29.358
-0.454,0.921,0.077,-7.141,-30.090,31.372
-0.355,0.946,0.042,5.615,-39.795,31.311
-0.307,0.963,0.039,9.949,-41.260,31.250
-0.201,0.973,-0.021,18.127,-41.321,26.855
-0.158,1.007,-0.041,20.569,-40.649,20.386
-0.142,1.019,-0.064,22.827,-38.574,15.808
-0.131,1.043,-0.076,21.973,-31.799,13.428
-0.066,1.036,-0.125,18.555,-23.437,12.146
-0.093,1.024,-0.134,15.381,-18.921,10.925
-0.081,1.038,-0.132,11.047,-6.531,10.437
-0.081,1.042,-0.113,7.141,-0.366,11.719
-0.044,1.029,-0.127,6.042,-3.174,12.085
-0.046,1.000,-0.088,0.244,-10.315,9.521
-0.028,1.015,-0.083,1.465,-7.324,5.920
-0.043,1.028,-0.054,0.732,-9.827,4.944
-0.049,1.011,-0.056,2.197,-13.855,4.028
-0.045,0.998,-0.045,3.906,-16.846,3.601
-0.030,1.006,-0.028,4.639,-17.944,2.136
-0.038,1.000,-0.042,6.165,-14.648,1.587
-0.020,1.005,-0.053,6.104,-13.428,1.038
-0.037,1.004,-0.062,4.578,-11.963,-0.183
-0.002,1.033,-0.088,2.625,-14.038,-0.427
-0.030,0.961,-0.073,-1.465,-10.498,-1.648
-0.029,0.972,-0.068,-2.747,-5.920,-2.441
-0.036,0.988,-0.068,-3.784,-4.028,-1.282
-0.029,0.985,-0.036,-5.920,-6.165,-2.197
-0.056,0.962,-0.034,-6.531,-5.493,-1.953
-0.037,0.993,0.006,-5.005,-8.545,-1.465
-0.034,0.994,-0.009,-2.625,-13.550,-1.587
-0.027,0.989,0.006,-1.038,-10.681,-0.977
-0.022,0.996,-0.005,2.380,-7.935,-0.122

-1.617,0.924,0.006,-157.837,179.749,181.213
-1.811,0.790,0.061,-195.679,208.923,221.741
-1.947,0.459,0.250,-265.625,215.515,309.998
-1.621,0.158,0.477,-296.509,122.375,383.423
-1.332,0.079,0.573,-295.166,57.678,412.170
-0.681,0.020,0.489,-268.066,-80.444,454.468
-0.115,0.300,0.286,-229.797,-159.973,481.262
0.214,0.280,0.127,-218.811,-179.565,499.573
0.623,-0.078,-0.228,-216.003,-213.135,571.411
0.908,-0.656,-0.349,-227.600,-204.773,621.216
1.079,-0.682,-0.216,-220.154,-198.181,627.075
1.699,-0.726,-0.242,-185.059,-227.051,604.919
2.549,-0.784,-0.284,-171.570,-226.074,551.941
3.041,-0.808,-0.321,-167.419,-205.139,503.113
3.738,-0.892,-0.218,-163.574,-112.427,344.360
3.766,-0.575,0.103,-160.278,-2.441,132.874
3.503,-0.710,0.280,-157.166,15.442,19.958
2.857,-0.802,0.435,-127.441,38.330,-131.226
2.462,-0.763,0.462,-74.463,38.940,-200.195
2.371,-0.732,0.474,-46.204,56.824,-221.313
2.268,-0.689,0.562,10.315,90.698,-267.395
2.181,-0.666,0.615,69.519,117.004,-331.482
2.136,-0.672,0.633,97.656,128.723,-367.493
1.959,-0.644,0.672,149.902,134.094,-447.083
1.773,-0.685,0.714,196.167,137.512,-528.503
1.722,-0.688,0.716,226.440,136.047,-569.336
1.471,-0.676,0.695,282.227,140.808,-639.221
1.216,-0.832,0.663,349.915,143.127,-698.303
1.050,-0.858,0.663,381.348,140.991,-720.337
0.593,-0.851,0.571,442.993,140.198,-747.559
0.042,-0.741,0.274,491.943,158.630,-741.089
-0.158,-0.685,0.154,504.883,148.254,-718.872
-0.544,-0.556,-0.073,503.601,105.957,-664.978
-0.965,-0.232,-0.249,484.192,66.833,-591.858
-1.044,-0.177,-0.443,467.346,61.157,-546.570
-1.515,-0.076,-0.930,414.185,92.651,-470.276
-1.862,0.119,-1.152,335.449,119.507,-354.553
-2.353,0.508,-1.614,284.668,112.610,-280.701
-2.396,0.628,-1.851,154.175,22.400,-143.921
-2.337,0.568,-1.811,5.066,-47.363,-37.231
-2.136,0.372,-1.536,-60.913,-55.237,10.864
-1.875,0.158,-1.035,-166.199,-40.588,90.942
-1.831,0.095,-0.825,-225.098,0.000,151.794
-1.853,0.142,-0.445,-241.150,26.001,183.167
-1.824,0.195,-0.279,-260.986,44.434,249.817
-1.796,0.270,-0.257,-267.334,40.466,281.067
-1.643,0.345,-0.274,-281.372,8.362,352.539
-1.405,0.294,-0.321,-305.542,-26.123,423.584
-1.267,0.395,-0.333,-315.430,-34.424,475.464
-0.908,0.128,-0.311,-363.525,-58.167,546.265
-0.432,-0.132,-0.244,-402.344,-118.103,572.388
-0.230,-0.251,-0.073,-416.809,-148.560,583.618
0.079,-0.394,0.139,-421.143,-199.463,593.506
0.404,-0.544,0.350,-394.836,-211.731,619.385
0.588,-0.623,0.459,-374.146,-198.486,638.306
1.047,-0.683,0.662,-299.683,-146.912,658.081
1.553,-0.783,0.768,-217.651,-83.557,631.409
1.874,-0.743,0.852,-183.960,-66.223,593.567
2.570,-0.683,0.804,-131.592,-64.087,469.482
2.826,-0.633,0.748,-96.680,-83.557,285.706
2.763,-0.603,0.734,-80.872,-94.116,196.411
2.381,-0.574,0.652,-47.729,-103.882,62.561
2.088,-0.567,0.583,-18.555,-92.041,5.249
2.020,-0.572,0.566,-1.038,-85.205,-1.831
2.148,-0.558,0.519,41.687,-49.866,1.282
2.332,-0.572,0.482,83.862,-4.395,-9.827
2.401,-0.574,0.452,103.271,10.254,-31.433
2.444,-0.521,0.327,130.432,16.174,-101.563
2.291,-0.480,0.248,145.386,18.799,-187.622
2.232,-0.463,0.210,149.780,19.714,-231.445
2.035,-0.358,0.156,159.912,36.438,-314.697
1.750,-0.298,0.162,168.213,56.580,-379.578
1.690,-0.284,0.154,172.607,59.692,-407.104
1.441,-0.212,0.116,176.880,70.374,-456.848
1.194,-0.179,0.108,185.120,94.482,-500.977
1.068,-0.173,0.114,188.721,105.103,-518.738
0.751,-0.153,0.107,204.590,123.230,-548.157
0.436,-0.151,0.159,234.924,123.108,-574.707
0.310,-0.158,0.179,252.747,109.619,-587.708
-0.044,-0.092,0.238,276.062,87.952,-598.694
-0.479,-0.022,0.182,301.514,94.910,-576.050
-0.639,0.018,0.086,316.528,117.493,-543.274
-0.989,0.161,-0.280,345.520,174.927,-461.792
-1.417,0.592,-0.796,333.618,215.149,-354.004
-1.591,0.844,-1.069,304.932,212.769,-298.401
-1.660,1.119,-1.362,194.092,110.779,-200.073
-1.448,1.007,-1.343,52.612,-80.627,-141.235
